Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,23/02/2018 03:16:01,5009382,5,3,733,1910,733,0,146.6,327.8075655015,1910,0,636.6666666667,1102.7390141522,527.6099926099,1.5970033829,715626.0,1890042.86998717,5001839,19,5009382,1252345.5,2499662.78920771,5001839,400,7032,3516.0,999.8489885978,4223,2809,0,0,0,0,112,72,0.9981271143,0.5988762686,0,1910,293.6666666667,652.8043351572,426153.5,0,0,1,1,0,0,0,1,0,330.375,146.6,636.6666666667,0,0,0,0,0,0,5,733,3,1910,8192,222,1,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:16:09,5002033,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.7996748522,1667344.33333333,2886540.43348995,5000434,6,5002033,2501016.5,3534710.12653265,5000434,1599,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5997561392,0.1999187131,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,26883,0,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:16:09,5002444,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.799609151,1667481.33333333,2886475.5344971,5000496,7,5002444,2501222.0,3534507.18688645,5000496,1948,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5997068633,0.1999022878,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,26883,0,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:16:09,5008710,4,4,731,1903,731,0,182.75,365.5,1903,0,475.75,951.5,525.8839102284,1.5972176469,715530.0,1890086.67429019,5001843,17,6867,2289.0,753.2867979727,3054,1548,5008685,1669561.66666667,2886156.44209255,5002208,2672,0,0,0,0,92,92,0.7986088234,0.7986088234,0,1903,292.6666666667,650.4696380309,423110.75,0,0,1,1,0,0,0,1,1,329.25,182.75,475.75,0,0,0,0,0,0,4,731,4,1903,8192,222,1,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:16:14,35,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,57142.8571428571,35.0,0.0,35,35,35,35.0,0.0,35,35,0,0.0,0.0,0,0,0,0,0,0,40,0,57142.8571428571,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:16:14,5010548,4,4,704,2033,704,0,176.0,352.0,2033,0,508.25,1016.5,546.2476359871,1.5966317457,715792.571428571,1891267.76888713,5004784,19,5764,1921.3333333333,1350.7739756648,2775,364,5010523,1670174.33333333,2888186.6547163,5005165,2375,0,0,0,0,92,92,0.7983158728,0.7983158728,0,2033,304.1111111111,688.8716216474,474544.111111111,0,0,1,1,0,0,0,1,1,342.125,176.0,508.25,0,0,0,0,0,0,4,704,4,2033,8192,222,1,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:16:19,45,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,44444.4444444444,45.0,0.0,45,45,45,45.0,0.0,45,45,0,0.0,0.0,0,0,0,0,0,0,40,0,44444.4444444444,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:16:50,5005246,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.7991615197,1668415.33333333,2889509.92942771,5004934,6,5005246,2502623.0,3538802.15347538,5004934,312,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5993711398,0.1997903799,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,26883,0,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:16:50,5017082,4,4,709,1910,709,0,177.25,354.5,1910,0,477.5,955.0,522.0165825474,1.5945523713,716726.0,1890471.37373152,5003905,19,13177,4392.3333333333,4708.1925760671,9551,327,5017056,1672352.0,2885525.99413365,5004268,2917,0,0,0,0,92,92,0.7972761856,0.7972761856,0,1910,291.0,650.8313913757,423581.5,0,0,1,1,0,0,0,1,1,327.375,177.25,477.5,0,0,0,0,0,0,4,709,4,1910,8192,222,1,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:16:55,49,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40816.3265306122,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0,0,0,40,0,40816.3265306122,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:17:03,5010127,4,4,713,389,713,0,178.25,356.5,389,0,97.25,194.5,219.9545041473,1.5967659103,715732.428571429,1868688.20403127,4953300,19,56827,18942.3333333333,30132.5013288531,53711,408,5010100,1670033.33333333,2888328.74047352,5005188,1804,0,0,0,0,92,92,0.7983829552,0.7983829552,0,713,122.4444444444,256.1142865554,65594.5277777778,0,0,1,1,0,0,0,1,1,137.75,178.25,97.25,0,0,0,0,0,0,4,713,4,389,8192,222,1,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:17:08,1233,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1622.0600162206,1233.0,0.0,1233,1233,1233,1233.0,0.0,1233,1233,0,0.0,0.0,0,0,0,0,0,0,40,0,1622.0600162206,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2051,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:17:09,5007471,4,4,709,385,709,0,177.25,354.5,385,0,96.25,192.5,218.4735568114,1.5976128469,715353.0,1868656.42749499,4952840,17,54631,18210.3333333333,31139.5139546739,54167,143,5007447,1669149.0,2889117.9798596,5005215,457,0,0,0,0,92,92,0.7988064234,0.7988064234,0,709,121.5555555556,254.4415999356,64740.5277777778,0,0,1,1,0,0,0,1,1,136.75,177.25,96.25,0,0,0,0,0,0,4,709,4,385,8192,222,1,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,23/02/2018 03:17:14,390,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5128.2051282051,390.0,0.0,390,390,390,390.0,0.0,390,390,0,0.0,0.0,0,0,0,0,0,0,40,0,5128.2051282051,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2051,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
49237,6,23/02/2018 03:17:19,5011009,5,3,2033,709,2033,0,406.6,909.1852396514,709,0,236.3333333333,409.3413408554,547.1951856403,1.5964848596,715858.428571429,1891267.0183161,5004848,27,5011009,1252752.25,2501635.56784748,5005205,27,5802,2901.0,217.7888886055,3055,2747,0,0,0,0,124,60,0.9978030373,0.5986818224,0,2033,304.6666666667,689.2363527847,475046.75,0,0,1,1,0,0,0,1,0,342.75,406.6,236.3333333333,0,0,0,0,0,0,5,2033,3,709,8192,2053,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,23/02/2018 03:17:24,46,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,43478.2608695652,46.0,0.0,46,46,46,46.0,0.0,46,46,0,0.0,0.0,0,0,0,0,0,0,40,0,43478.2608695652,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
49238,6,23/02/2018 03:17:19,5012529,2,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.7980003707,1670843.0,2893704.37939123,5012205,7,7,7.0,0.0,7,7,5012205,5012205.0,0.0,5012205,5012205,0,0,0,0,64,40,0.3990001853,0.3990001853,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,8192,2053,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
500,17,23/02/2018 03:16:27,89481188,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.5266000268,0.0670532001,17896237.6,15345743.7710878,41991834,4000238,89481188,17896237.6,15345743.7710878,41991834,4000238,0,0.0,0.0,0,0,0,0,0,0,48,0,0.0670532001,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333333333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000238.0,0.0,4000238,4000238,21370237.5,15281730.9386897,41991834,7200392,Benign
500,17,23/02/2018 03:16:27,89481189,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.5265996521,0.0670531993,17896237.8,15345741.7697644,41991835,4000240,89481189,17896237.8,15345741.7697644,41991835,4000240,0,0.0,0.0,0,0,0,0,0,0,48,0,0.0670531993,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333333333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000240.0,0.0,4000240,4000240,21370237.25,15281728.9410717,41991835,7200391,Benign
500,17,23/02/2018 03:17:04,89479694,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.5271598045,0.0670543196,17895938.8,15345179.9775239,41990374,4000278,89479694,17895938.8,15345179.9775239,41990374,4000278,0,0.0,0.0,0,0,0,0,0,0,48,0,0.0670543196,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333333333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000278.0,0.0,4000278,4000278,21369854.0,15281104.4303586,41990374,7200319,Benign
500,17,23/02/2018 03:17:04,89479695,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.5271594299,0.0670543189,17895939.0,15345178.868225,41990371,4000277,89479695,17895939.0,15345178.868225,41990371,4000277,0,0.0,0.0,0,0,0,0,0,0,48,0,0.0670543189,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333333333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000277.0,0.0,4000277,4000277,21369854.5,15281102.4904233,41990371,7200320,Benign
31808,6,23/02/2018 03:17:06,351135,5,5,3488,672,1168,0,697.6,452.9158862305,560,0,134.4,239.6263758437,11847.2951998519,28.4790749996,39015.0,33111.8437836071,90015,130,351135,87783.75,77740.9403183634,173194,130,268889,67222.25,31554.8274423529,95930,33356,1,0,0,0,100,100,14.2395374998,14.2395374998,0,1168,445.0909090909,440.0330566095,193629.090909091,0,1,0,0,1,0,0,0,1,489.6,697.6,134.4,0,0,0,0,0,0,5,3488,5,672,253,256,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
