Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,28/02/2018 11:11:33,20896876,6,8,676,3695,387,0,112.6666666667,155.3520732616,1460,0,461.875,652.7494460248,209.1700213946,0.6699566002,1607452,5728401.63585975,20672515,1,147294,29458.8,26247.5631859417,50502,356,20850406,2978629.42857143,7802331.54542734,20672515,1,0,0,0,0,132,172,0.2871242572,0.382832343,0,1460,291.4,507.9598971797,258023.257142857,0,0,1,1,0,0,0,1,1,312.2142857143,112.6666666667,461.875,0,0,0,0,0,0,6,676,8,3695,8192,7516,3,20,224160,0,224160,224160,20672515,0,20672515,20672515,Benign
443,6,28/02/2018 11:11:54,262,3,0,31,0,31,0,10.3333333333,17.8978583449,0,0,0,0,118320.610687023,11450.3816793893,131,103.2375900532,204,58,262,131,103.2375900532,204,58,0,0,0,0,0,0,0,0,0,60,0,11450.3816793893,0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.3333333333,10.3333333333,0,0,0,0,0,0,0,3,31,0,0,258,-1,1,20,0,0,0,0,0,0,0,0,Benign
443,6,28/02/2018 11:11:54,6854981,11,12,2008,4427,1078,0,182.5454545455,315.1251699361,1460,0,368.9166666667,539.6978040505,938.7334552787,3.3552244711,311590.045454545,1398395.4130169,6571849,1,282878,28287.8,29742.443248664,78743,31,6808160,618923.636363636,1984300.82888695,6601384,1,0,0,0,0,232,252,1.6046725731,1.750551898,0,1460,268.125,440.9185385178,194409.157608696,0,0,1,1,0,0,0,1,1,279.7826086957,182.5454545455,368.9166666667,0,0,0,0,0,0,11,2008,12,4427,8192,8002,6,20,282878,0,282878,282878,6571849,0,6571849,6571849,Benign
443,6,28/02/2018 11:12:01,220,3,0,31,0,31,0,10.3333333333,17.8978583449,0,0,0,0,140909.090909091,13636.3636363636,110,97.5807358037,179,41,220,110,97.5807358037,179,41,0,0,0,0,0,0,0,0,0,60,0,13636.3636363636,0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.3333333333,10.3333333333,0,0,0,0,0,0,0,3,31,0,0,255,-1,1,20,0,0,0,0,0,0,0,0,Benign
443,6,28/02/2018 11:12:23,865701,7,10,1287,4243,968,0,183.8571428571,354.3832335064,1460,0,424.3,594.7987614872,6387.8868108042,19.6372650603,54106.3125,99709.2269269123,305730,0,496106,82684.3333333333,115685.159896448,305730,249,835480,92831.1111111111,161558.123529463,439765,0,0,0,0,0,152,212,8.0859326719,11.5513323884,0,1460,307.2222222222,501.5027482835,251505.006535948,0,0,1,1,0,0,0,1,1,325.2941176471,183.8571428571,424.3,0,0,0,0,0,0,7,1287,10,4243,8192,1007,3,20,0,0,0,0,0,0,0,0,Benign
443,6,28/02/2018 11:12:23,106,2,0,0,0,0,0,0,0,0,0,0,0,0,18867.9245283019,106,0,106,106,106,106,0,106,106,0,0,0,0,0,0,0,0,0,40,0,18867.9245283019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,254,-1,0,20,0,0,0,0,0,0,0,0,Benign
443,6,28/02/2018 11:12:23,979745,8,27,2277,26538,983,0,284.625,434.5684024737,1460,0,982.8888888889,647.8944200155,29410.7140123195,35.7235811359,28816.0294117647,80239.7057796523,425764,0,523450,74778.5714285714,92386.2186076422,271381,190,949443,36517.0384615385,93153.0159642642,425764,0,0,0,0,0,172,552,8.1653899739,27.558191162,0,1460,800.4166666667,674.0895394106,454396.707142857,0,0,1,1,0,0,0,1,3,823.2857142857,284.625,982.8888888889,0,0,0,0,0,0,8,2277,27,26538,8192,1069,4,20,0,0,0,0,0,0,0,0,Benign
443,6,28/02/2018 11:12:24,108,2,0,0,0,0,0,0,0,0,0,0,0,0,18518.5185185185,108,0,108,108,108,108,0,108,108,0,0,0,0,0,0,0,0,0,40,0,18518.5185185185,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0,0,0,0,0,0,0,0,Benign
443,6,28/02/2018 11:12:24,73677,8,6,543,3459,194,0,67.875,88.2212114112,1460,0,576.5,695.1056754192,54318.1725640295,190.0185946768,5667.4615384615,8023.2136912772,20903,1,73677,10525.2857142857,9008.2227754107,22393,39,52484,10496.8,14036.4840754371,29903,1,0,0,0,0,172,132,108.582054101,81.4365405758,0,1460,266.8,495.2327302823,245255.457142857,0,0,1,1,0,0,0,1,0,285.8571428571,67.875,576.5,0,0,0,0,0,0,8,543,6,3459,8192,946,4,20,0,0,0,0,0,0,0,0,Benign
443,6,28/02/2018 11:12:24,76746,8,6,543,3459,194,0,67.875,88.2212114112,1460,0,576.5,695.1056754192,52146.0401845047,182.4199306804,5903.5384615385,8308.0886251029,20855,1,76746,10963.7142857143,9257.7931984227,22401,30,55584,11116.8,15135.053062345,32991,1,0,0,0,0,172,132,104.2399603888,78.1799702916,0,1460,266.8,495.2327302823,245255.457142857,0,0,1,1,0,0,0,1,0,285.8571428571,67.875,576.5,0,0,0,0,0,0,8,543,6,3459,8192,946,4,20,0,0,0,0,0,0,0,0,Benign
