persona_id,family,feature,generated_mean,generated_std,reference_mean,reference_std,z_score,flag
benign_browsing_v1,benign,flow_count,6.081,2.753,6.0,3.0,0.03,ok
benign_browsing_v1,benign,syn_flag_sum,0.009,0.096,0.4,0.6,-0.65,ok
benign_browsing_v1,benign,dest_port_entropy,1.443,0.483,1.2,0.7,0.35,ok
benign_browsing_v1,benign,down_up_ratio_mean,2.497,0.596,2.2,1.5,0.2,ok
benign_browsing_v1,benign,pkt_len_mean,600.034,138.462,550.0,250.0,0.2,ok
benign_browsing_v1,benign,port_scan_score,0.027,0.025,0.03,0.05,-0.06,ok
benign_browsing_v1,benign,retransmit_count,0.061,0.256,0.1,0.3,-0.13,ok
benign_bulk_transfer_v1,benign,flow_count,15.058,3.934,6.0,3.0,3.02,REVIEW
benign_bulk_transfer_v1,benign,syn_flag_sum,0.026,0.16,0.4,0.6,-0.62,ok
benign_bulk_transfer_v1,benign,dest_port_entropy,1.468,0.137,1.2,0.7,0.38,ok
benign_bulk_transfer_v1,benign,down_up_ratio_mean,7.976,1.525,2.2,1.5,3.85,REVIEW
benign_bulk_transfer_v1,benign,pkt_len_mean,1399.542,54.316,550.0,250.0,3.4,REVIEW
benign_bulk_transfer_v1,benign,port_scan_score,0.025,0.024,0.03,0.05,-0.11,ok
benign_bulk_transfer_v1,benign,retransmit_count,0.217,0.48,0.1,0.3,0.39,ok
benign_iot_idle_v1,benign,flow_count,0.994,1.059,6.0,3.0,-1.67,ok
benign_iot_idle_v1,benign,syn_flag_sum,0.0,0.0,0.4,0.6,-0.67,ok
benign_iot_idle_v1,benign,dest_port_entropy,0.32,0.548,1.2,0.7,-1.26,ok
benign_iot_idle_v1,benign,down_up_ratio_mean,1.011,0.297,2.2,1.5,-0.79,ok
benign_iot_idle_v1,benign,pkt_len_mean,89.292,27.482,550.0,250.0,-1.84,ok
benign_iot_idle_v1,benign,port_scan_score,0.023,0.025,0.03,0.05,-0.14,ok
benign_iot_idle_v1,benign,retransmit_count,0.005,0.068,0.1,0.3,-0.32,ok
bruteforce_ftp_v1,initial_access,flow_count,17.424,4.255,18.0,6.0,-0.1,ok
bruteforce_ftp_v1,initial_access,syn_flag_sum,8.217,2.172,8.0,3.0,0.07,ok
bruteforce_ftp_v1,initial_access,dest_port_entropy,0.0,0.0,0.3,0.4,-0.75,ok
bruteforce_ftp_v1,initial_access,down_up_ratio_mean,1.099,0.202,1.0,0.4,0.25,ok
bruteforce_ftp_v1,initial_access,pkt_len_mean,100.034,7.597,200.0,150.0,-0.67,ok
bruteforce_ftp_v1,initial_access,port_scan_score,0.023,0.023,0.02,0.03,0.11,ok
bruteforce_ftp_v1,initial_access,retransmit_count,0.523,0.729,0.5,0.5,0.05,ok
bruteforce_ssh_v1,initial_access,flow_count,20.081,4.556,18.0,6.0,0.35,ok
bruteforce_ssh_v1,initial_access,syn_flag_sum,10.541,2.569,8.0,3.0,0.85,ok
bruteforce_ssh_v1,initial_access,dest_port_entropy,0.0,0.0,0.3,0.4,-0.75,ok
bruteforce_ssh_v1,initial_access,down_up_ratio_mean,0.906,0.153,1.0,0.4,-0.23,ok
bruteforce_ssh_v1,initial_access,pkt_len_mean,120.133,9.044,200.0,150.0,-0.53,ok
bruteforce_ssh_v1,initial_access,port_scan_score,0.024,0.024,0.02,0.03,0.15,ok
bruteforce_ssh_v1,initial_access,retransmit_count,0.794,0.908,0.5,0.5,0.59,ok
dos_hulk_v1,impact,flow_count,125.514,12.073,80.0,40.0,1.14,ok
dos_hulk_v1,impact,syn_flag_sum,87.357,8.892,50.0,25.0,1.49,ok
dos_hulk_v1,impact,dest_port_entropy,0.994,0.008,0.1,0.2,4.47,REVIEW
dos_hulk_v1,impact,down_up_ratio_mean,0.604,0.097,0.5,0.2,0.52,ok
dos_hulk_v1,impact,pkt_len_mean,200.055,5.432,150.0,100.0,0.5,ok
