timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-09-03T22:16:06.210005+00:00,benign_bulk_transfer_v1,benign_bulk_transfer_v1__run_002,benign,,18,3,1.2516,0.942,0.0659,138397.95,16915.3,0.3746,90,11,0.207,0.3291,0.3426,0.025,0.4174,0,12,0,0,1,0,8.1378,1537.75,239.44,1910.07,7336.71,6961.04,0,0.0524,0.9063,1,1
2026-09-03T22:16:11.210005+00:00,benign_bulk_transfer_v1,benign_bulk_transfer_v1__run_002,benign,,16,3,1.5052,0.9682,0.0438,198908.59,24863.57,0.3339,144,18,0.2954,0.4253,0.3752,0.0259,0.4529,0,10,0,0,1,0,7.619,1381.31,209.71,1791.13,9273.27,7356.86,0,0.0135,1.2228,1,0
2026-09-03T22:16:16.210005+00:00,benign_bulk_transfer_v1,benign_bulk_transfer_v1__run_002,benign,,23,3,1.325,0.9565,0.0198,218240.42,24399.55,0.3421,161,18,0.2764,0.3681,0.3542,0.0489,0.5008,0,15,1,0,2,0,8.8815,1355.53,137.81,1697.97,7457.01,9544.71,1,0.0376,1.4789,1,0
2026-09-03T22:16:21.210005+00:00,benign_bulk_transfer_v1,benign_bulk_transfer_v1__run_002,benign,,19,3,1.581,0.9623,0.0581,232236.71,28520.3,0.2934,171,21,0.2886,0.5562,0.3468,0.0412,0.4704,0,13,1,0,1,0,7.9247,1358.11,158.16,1671.2,7419.44,9174.53,0,0.0071,0.6324,0,0
2026-09-03T22:16:26.210005+00:00,benign_bulk_transfer_v1,benign_bulk_transfer_v1__run_002,benign,,16,3,1.4056,0.9503,0.0177,117627.46,19114.46,0.2508,80,13,0.3641,0.8939,0.3351,0.044,0.467,0,11,0,0,1,0,5.8898,1470.34,179.32,1762.51,8632.25,7441.18,0,0.0935,0.0,0,0
2026-09-03T22:16:31.210005+00:00,benign_bulk_transfer_v1,benign_bulk_transfer_v1__run_002,benign,,16,3,1.4197,0.98,0.0274,136049.5,18423.37,0.2901,96,13,0.4101,0.6783,0.3493,0.0258,0.4267,0,11,0,0,1,0,7.3083,1417.18,182.05,1730.19,8363.12,7706.03,0,0.0187,0.894,0,0
2026-09-03T22:16:36.210005+00:00,benign_bulk_transfer_v1,benign_bulk_transfer_v1__run_002,benign,,14,3,1.4138,0.9614,0.0318,112687.27,17439.7,0.2306,84,13,0.4537,0.792,0.3032,0.0188,0.3597,0,9,0,0,1,0,6.1269,1341.52,148.26,1744.03,8101.58,8654.43,0,0.0337,1.6567,0,0
2026-09-03T22:16:41.210005+00:00,benign_bulk_transfer_v1,benign_bulk_transfer_v1__run_002,benign,,21,3,1.5452,0.9797,0.0351,113950.29,13565.51,0.3301,84,10,0.1681,0.3252,0.3114,0.039,0.4283,0,14,0,0,1,0,7.8927,1356.55,200.17,1801.13,6945.57,7641.62,0,0.0,2.041,0,0
2026-09-03T22:16:46.210005+00:00,benign_bulk_transfer_v1,benign_bulk_transfer_v1__run_002,benign,,18,3,1.4591,0.9484,0.0851,103965.69,12995.71,0.3426,72,9,0.4499,1.1877,0.3128,0.0159,0.3606,0,12,0,0,1,0,7.5786,1443.97,143.67,1801.0,6799.21,5796.27,0,0.0484,0.93,1,0
2026-09-03T22:16:51.210005+00:00,benign_bulk_transfer_v1,benign_bulk_transfer_v1__run_002,benign,,12,3,1.4834,0.9497,0.0565,76651.93,10220.26,0.3643,60,8,0.3612,0.5333,0.3361,0.0182,0.3908,0,8,0,0,1,0,7.1514,1277.53,177.19,1587.23,7885.46,8817.07,0,0.0485,1.4071,0,0
