timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-08-27T19:24:17.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,28,1,-0.0,1.0,0.0,27654.32,35226.33,0.9303,252,321,0.2867,0.8318,0.2168,0.0305,0.3085,15,8,0,4,1,0,0.784,109.74,25.65,160.62,10102.15,10360.05,0,0.0825,0.8098,0,2
2026-08-27T19:24:22.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,15,1,-0.0,0.994,0.0148,3903.58,4554.18,0.9329,30,35,0.3773,0.7269,0.2238,0.0303,0.3148,8,4,0,2,0,0,0.8491,130.12,57.12,316.18,8267.66,7146.6,0,0.0161,1.605,0,1
2026-08-27T19:24:27.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,17,1,-0.0,0.9638,0.0528,12879.44,11490.49,0.9511,102,91,0.1778,0.5151,0.2421,0.0284,0.3272,8,4,0,1,0,0,1.1168,126.27,47.3,257.39,8970.11,9602.07,0,0.0216,1.5989,0,0
2026-08-27T19:24:32.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,20,1,-0.0,0.996,0.0185,12417.57,11299.99,0.8807,100,91,0.2977,0.7296,0.2906,0.0281,0.3749,11,5,1,3,0,0,1.0904,124.18,42.01,212.07,7346.61,7760.43,0,0.0,0.8067,0,2
2026-08-27T19:24:37.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,19,1,-0.0,0.9771,0.0407,12818.09,12548.24,0.8474,95,93,0.2683,0.698,0.2428,0.0225,0.3103,11,5,0,2,0,0,1.0131,134.93,51.99,251.68,8082.93,7448.85,0,0.0032,1.4055,0,2
2026-08-27T19:24:42.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,29,1,-0.0,1.0,0.0188,13806.77,19996.01,0.8687,116,168,0.1957,0.4381,0.2618,0.0233,0.3317,15,9,1,4,2,0,0.6882,119.02,28.61,218.73,9252.29,8256.19,1,0.0,0.6374,0,4
2026-08-27T19:24:47.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,31,1,-0.0,1.0,0.0,20011.87,15751.28,0.8062,155,122,0.1805,0.2912,0.2158,0.0259,0.2935,16,8,1,3,1,0,1.2642,129.11,31.02,190.48,7842.23,8467.98,0,0.0,1.3584,0,2
2026-08-27T19:24:52.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,22,1,-0.0,0.999,0.005,11559.94,14187.2,0.9257,88,108,0.1778,0.2957,0.2796,0.0255,0.3562,11,6,0,3,1,0,0.8078,131.36,43.47,201.7,8452.18,6664.99,0,0.029,1.6542,0,1
2026-08-27T19:24:57.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,21,1,-0.0,1.0,0.0,11447.89,11774.97,0.9358,105,108,0.3741,0.9469,0.2716,0.0229,0.3403,10,6,0,2,1,0,0.9648,109.03,42.69,222.0,6769.22,8567.22,0,0.0626,1.3488,0,0
2026-08-27T19:25:02.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,16,1,-0.0,0.9558,0.0547,9337.74,9337.74,0.865,80,80,0.2092,0.306,0.2428,0.028,0.3267,8,5,0,2,1,0,0.9931,116.72,31.25,178.18,7393.83,8810.46,0,0.0545,1.31,0,2
2026-08-27T19:25:07.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,18,1,-0.0,1.0,0.0077,4097.0,5576.48,0.8917,36,49,0.2557,0.3224,0.2423,0.0333,0.3423,9,5,0,3,1,0,0.7304,113.81,32.37,171.8,8324.34,8382.16,0,0.0,0.0,0,0
2026-08-27T19:25:12.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,28,1,-0.0,1.0,0.0085,15582.73,15026.21,0.7852,140,135,0.1832,0.549,0.2395,0.0199,0.2992,16,9,1,4,1,0,1.0338,111.31,30.29,162.21,8859.44,6326.61,0,0.0112,1.3707,0,1
2026-08-27T19:25:17.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,21,1,-0.0,0.9868,0.0027,17286.89,27282.71,0.9083,147,232,0.226,0.4565,0.2533,0.0161,0.3016,11,6,1,2,1,0,0.6331,117.6,47.41,266.97,10344.97,8591.52,0,0.0393,0.7116,0,0
2026-08-27T19:25:22.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,16,1,-0.0,0.9794,0.0108,15478.37,11746.98,0.8565,112,85,0.1392,0.2117,0.2384,0.021,0.3014,9,4,0,2,1,0,1.3098,138.2,46.04,231.41,7416.51,8257.78,0,0.0141,0.9113,0,1
2026-08-27T19:25:27.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,26,1,-0.0,0.9671,0.0197,39034.81,44915.06,0.8466,312,359,0.1586,0.1927,0.2408,0.0223,0.3077,14,8,1,4,2,0,0.8677,125.11,39.33,207.63,9978.7,7465.1,1,0.0044,0.3507,0,0
2026-08-27T19:25:32.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,23,1,-0.0,1.0,0.009,18051.29,25507.26,0.9201,138,195,0.2234,0.6646,0.2339,0.0241,0.3062,12,6,0,3,1,0,0.7068,130.81,45.51,230.86,6750.9,9045.02,0,0.0,0.1605,0,0
2026-08-27T19:25:37.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,27,1,-0.0,1.0,0.0062,14776.52,13025.23,0.8261,135,119,0.1966,0.3123,0.263,0.0271,0.3442,15,8,1,2,1,0,1.1332,109.46,26.6,199.06,7992.51,8727.64,0,0.0336,1.0897,0,4
2026-08-27T19:25:42.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,20,1,-0.0,1.0,0.0,18117.43,31705.51,0.8361,160,280,0.1805,0.3644,0.2359,0.0137,0.2769,11,6,0,3,1,0,0.5708,113.23,38.45,214.36,8690.46,8288.48,0,0.0308,1.1832,0,2
2026-08-27T19:25:47.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,14,1,-0.0,0.9891,0.0059,13117.21,15459.57,0.8988,112,132,0.222,0.4969,0.2601,0.0248,0.3344,7,3,0,1,0,0,0.8484,117.12,38.4,206.24,7313.63,7496.86,0,0.0105,0.7375,0,0
2026-08-27T19:25:52.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,23,1,-0.0,0.9363,0.0417,14886.41,13807.69,0.8827,138,128,0.3426,0.6137,0.2133,0.0258,0.2908,11,6,2,3,1,0,1.0704,107.87,29.87,174.32,9187.64,6719.52,0,0.0309,1.4704,0,1
2026-08-27T19:25:57.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,24,1,-0.0,0.9955,0.0347,24516.25,28474.61,0.8669,192,223,0.2771,0.5292,0.2676,0.0227,0.3357,13,7,0,3,1,0,0.8589,127.69,32.33,229.5,9628.46,7473.11,0,0.0,1.5009,0,1
2026-08-27T19:26:02.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,22,1,-0.0,0.9788,0.0367,12651.83,10121.46,0.8344,110,88,0.1999,0.5307,0.2392,0.0146,0.2831,12,5,1,3,1,1,1.2492,115.02,30.42,164.12,7638.47,7600.3,0,0.0018,1.4297,0,0
2026-08-27T19:26:07.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,23,1,-0.0,0.9686,0.0,11137.37,11863.72,0.8718,92,98,0.2074,0.3247,0.2733,0.0324,0.3704,12,7,1,3,0,0,0.933,121.06,34.52,207.19,5557.72,7970.42,0,0.0145,1.4908,0,1
2026-08-27T19:26:12.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,11,1,-0.0,1.0,0.0,12567.81,12910.57,0.8767,110,113,0.173,0.3046,0.2798,0.0167,0.33,5,3,0,1,0,0,0.9728,114.25,26.75,152.79,6895.67,7141.89,0,0.0655,0.5757,0,1
2026-08-27T19:26:17.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,17,1,-0.0,1.0,0.0149,17730.26,18077.92,0.8287,153,156,0.1772,0.273,0.2534,0.034,0.3553,8,4,1,2,0,0,0.9798,115.88,48.36,276.33,10314.49,8478.91,0,0.0472,1.4556,0,0
2026-08-27T19:26:22.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,17,1,-0.0,1.0,0.0017,13104.64,21143.61,0.9501,119,192,0.3551,0.8702,0.3112,0.0276,0.3941,9,5,1,2,0,0,0.6166,110.12,30.32,197.88,8743.82,10160.98,0,0.0551,0.9309,0,0
2026-08-27T19:26:27.806794+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__501030773b15,initial_access,T1110.001,24,1,-0.0,1.0,0.0,17688.89,21865.43,0.9535,144,178,0.1531,0.4445,0.2661,0.0277,0.3491,13,7,2,4,1,0,0.8051,122.84,35.61,203.86,6928.51,5836.8,0,0.0494,1.2121,0,1
