timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-09-03T22:16:07.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,22,1,-0.0,0.9685,0.0687,7875.18,8471.79,0.9432,66,71,0.2793,0.4487,0.2458,0.0137,0.287,11,6,0,3,1,0,0.924,119.32,34.07,214.95,8950.13,5397.62,0,0.0247,2.123,0,1
2026-09-03T22:16:12.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,16,1,-0.0,0.9457,0.0065,12586.13,14814.93,0.8672,96,113,0.2459,0.7157,0.2417,0.0166,0.2914,8,5,0,2,0,0,0.8472,131.11,54.84,242.87,7367.17,8656.91,0,0.0,1.5923,0,1
2026-09-03T22:16:17.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,18,1,-0.0,0.9751,0.0292,11646.42,15010.95,0.8704,90,116,0.2895,0.544,0.2634,0.0288,0.3498,9,4,1,3,0,0,0.7734,129.4,39.83,225.38,5968.3,7885.61,0,0.0443,1.0512,0,1
2026-09-03T22:16:22.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,18,1,-0.0,0.9942,0.0328,17821.1,18563.64,0.9745,144,150,0.2786,0.3702,0.2387,0.0122,0.2754,9,4,1,2,1,0,0.9596,123.76,28.83,202.33,9082.12,8873.29,0,0.0107,0.6453,0,0
2026-09-03T22:16:27.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,24,1,-0.0,0.9783,0.0,10956.89,12554.77,0.9794,96,110,0.1928,0.4289,0.3334,0.0214,0.3977,14,7,0,3,1,0,0.8657,114.13,42.98,233.96,6988.77,8518.89,0,0.0,1.3135,0,3
2026-09-03T22:16:32.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,25,1,-0.0,0.9558,0.0774,20284.89,26196.49,0.8831,175,226,0.3229,0.6627,0.2547,0.0211,0.3179,14,7,1,3,1,0,0.7715,115.91,42.99,239.68,8321.11,9484.76,0,0.0405,0.5607,0,0
2026-09-03T22:16:37.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,29,1,-0.0,0.9596,0.0134,14241.36,19029.41,0.8916,116,155,0.2173,0.2883,0.2748,0.0153,0.3207,15,7,1,3,1,1,0.7468,122.77,46.16,325.15,7418.37,9116.58,0,0.0127,0.3518,0,1
2026-09-03T22:16:42.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,23,1,-0.0,1.0,0.0092,16896.71,22773.82,0.8828,138,186,0.2216,0.572,0.309,0.0259,0.3867,13,6,1,3,1,0,0.7399,122.44,30.73,200.52,8352.93,9116.29,0,0.0495,0.9489,0,2
2026-09-03T22:16:47.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,22,1,-0.0,0.9782,0.0113,16133.66,19311.5,0.8406,132,158,0.1495,0.2736,0.2344,0.0278,0.3177,12,6,0,3,0,1,0.8314,122.22,44.15,222.78,6509.63,7285.28,0,0.0409,0.9981,0,1
2026-09-03T22:16:52.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,19,1,-0.0,0.9849,0.0508,17916.18,22041.62,0.938,152,187,0.3056,0.5068,0.2568,0.023,0.3258,10,5,1,2,1,0,0.8122,117.87,33.22,180.43,7984.92,7623.98,0,0.0,1.1166,0,0
2026-09-03T22:16:57.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,24,1,-0.0,1.0,0.0,18132.96,23925.43,0.9386,144,190,0.2773,0.3573,0.2582,0.0292,0.3459,13,7,1,3,0,0,0.7579,125.92,37.98,195.25,6302.53,7205.49,0,0.0585,0.8375,0,0
2026-09-03T22:17:02.214071+00:00,bruteforce_ssh_v1,bruteforce_ssh_v1__run_002,initial_access,T1110.001,14,1,-0.0,1.0,0.0017,10142.45,13885.49,0.969,84,115,0.3234,0.7139,0.2278,0.0328,0.3261,7,4,0,2,0,0,0.7296,120.74,34.35,175.53,8263.24,8380.36,0,0.0956,0.8758,0,0
