timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-08-27T19:24:18.130651+00:00,dos_hulk_v1,dos_hulk_v1__3e6afc0d7b66,impact,T1499,113,2,0.9972,1.0,0.0,207857.7,254252.68,0.9784,1017,1244,0.023,0.0395,0.0419,0.0012,0.0456,75,19,1,5,3,0,0.8174,204.38,62.49,419.18,9336.43,8761.75,2,0.0,0.2548,0,2
2026-08-27T19:24:23.130651+00:00,dos_hulk_v1,dos_hulk_v1__3e6afc0d7b66,impact,T1499,129,2,0.9996,1.0,0.0043,125705.24,234649.79,0.9581,645,1204,0.0468,0.136,0.043,0.0019,0.0488,94,24,4,6,8,0,0.5354,194.89,54.06,380.91,8233.15,7446.32,7,0.014,1.3933,0,9
2026-08-27T19:24:28.130651+00:00,dos_hulk_v1,dos_hulk_v1__3e6afc0d7b66,impact,T1499,101,2,0.9965,1.0,0.0,140488.42,207453.9,1.0,707,1044,0.0264,0.0439,0.0438,0.0023,0.0508,74,20,0,4,1,0,0.6766,198.71,56.02,370.21,8174.05,7416.34,0,0.0473,0.3161,0,6
2026-08-27T19:24:33.130651+00:00,dos_hulk_v1,dos_hulk_v1__3e6afc0d7b66,impact,T1499,120,2,1.0,1.0,0.0019,93947.56,147380.23,0.9989,480,753,0.0319,0.0806,0.0419,0.0015,0.0465,85,28,4,3,2,0,0.6373,195.72,54.73,431.28,8490.28,8335.74,1,0.0215,0.931,0,2
2026-08-27T19:24:38.130651+00:00,dos_hulk_v1,dos_hulk_v1__3e6afc0d7b66,impact,T1499,110,2,0.994,0.9623,0.0172,175972.3,266158.1,0.8556,880,1331,0.0588,0.165,0.0385,0.0022,0.045,76,19,3,3,1,0,0.6608,199.97,57.32,336.45,8483.82,7332.27,0,0.0046,0.8815,0,7
2026-08-27T19:24:43.130651+00:00,dos_hulk_v1,dos_hulk_v1__3e6afc0d7b66,impact,T1499,132,2,0.9959,1.0,0.0,160770.07,323976.05,1.0,792,1596,0.0399,0.0629,0.0407,0.0014,0.0448,93,25,1,1,2,0,0.4961,202.99,61.55,407.36,7354.13,9091.29,1,0.0171,1.1467,0,7
2026-08-27T19:24:48.130651+00:00,dos_hulk_v1,dos_hulk_v1__3e6afc0d7b66,impact,T1499,141,2,1.0,0.9122,0.0897,28921.44,60099.15,0.9603,141,293,0.034,0.0588,0.0406,0.002,0.0465,96,31,0,4,3,0,0.4797,205.12,58.24,373.01,7065.94,7620.23,1,0.0054,1.3617,0,9
2026-08-27T19:24:53.130651+00:00,dos_hulk_v1,dos_hulk_v1__3e6afc0d7b66,impact,T1499,135,2,0.999,0.9729,0.024,53817.47,114411.95,0.9655,270,574,0.0337,0.0908,0.035,0.0021,0.0411,88,28,0,8,0,0,0.4698,199.32,56.09,418.42,8161.1,7414.01,0,0.0151,2.2665,0,3
2026-08-27T19:24:58.130651+00:00,dos_hulk_v1,dos_hulk_v1__3e6afc0d7b66,impact,T1499,119,2,0.9975,1.0,0.0144,182821.62,255796.64,0.9762,952,1332,0.0383,0.062,0.0349,0.0018,0.0402,82,23,0,4,5,0,0.7145,192.04,60.41,411.54,10467.15,9269.89,3,0.0347,0.197,0,9
2026-08-27T19:25:03.130651+00:00,dos_hulk_v1,dos_hulk_v1__3e6afc0d7b66,impact,T1499,137,2,0.999,1.0,0.0,268834.57,334963.95,1.0,1370,1707,0.0559,0.1186,0.0371,0.0013,0.041,94,25,6,9,4,0,0.8024,196.23,53.95,397.14,6746.82,7518.2,2,0.0136,1.7149,0,6
