timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-09-03T22:16:08.115312+00:00,dos_hulk_v1,dos_hulk_v1__run_002,impact,T1499,130,2,0.9957,0.9913,0.0,131151.62,232239.26,0.9124,650,1151,0.045,0.0833,0.0398,0.001,0.0428,91,24,0,8,3,0,0.5645,201.77,58.67,386.85,7161.1,8935.8,2,0.0254,1.7826,0,5
2026-09-03T22:16:13.115312+00:00,dos_hulk_v1,dos_hulk_v1__run_002,impact,T1499,126,2,1.0,0.9693,0.0251,153844.85,346761.41,1.0,756,1704,0.0244,0.0713,0.045,0.0015,0.0494,90,22,0,4,0,2,0.4435,203.5,67.8,407.2,9750.66,9053.37,0,0.0217,1.416,0,8
2026-09-03T22:16:18.115312+00:00,dos_hulk_v1,dos_hulk_v1__run_002,impact,T1499,101,2,0.9965,0.9974,0.0038,61550.78,105225.43,0.9202,303,518,0.0338,0.0958,0.0494,0.0021,0.0557,69,20,0,4,5,1,0.5842,203.14,52.48,345.99,7918.52,10544.14,4,0.0248,1.3498,0,9
2026-09-03T22:16:23.115312+00:00,dos_hulk_v1,dos_hulk_v1__run_002,impact,T1499,144,2,1.0,0.9805,0.0204,316284.96,787717.28,0.9931,1584,3945,0.0337,0.0846,0.039,0.0029,0.0478,103,28,2,9,3,6,0.4015,199.67,50.57,396.25,8364.12,7534.39,1,0.01,0.8458,0,6
2026-09-03T22:16:28.115312+00:00,dos_hulk_v1,dos_hulk_v1__run_002,impact,T1499,116,2,0.9991,0.9612,0.045,116443.09,184702.84,1.0,580,920,0.0352,0.0866,0.0443,0.0031,0.0535,80,22,1,3,0,0,0.6304,200.76,52.78,360.27,8208.87,9418.08,0,0.0024,0.9338,0,4
2026-09-03T22:16:33.115312+00:00,dos_hulk_v1,dos_hulk_v1__run_002,impact,T1499,129,2,0.9996,1.0,0.0219,103725.25,164432.67,0.9832,516,818,0.0231,0.0569,0.0429,0.0011,0.0462,90,24,2,9,6,0,0.6303,201.02,64.88,494.93,9389.33,8475.2,4,0.0,0.7899,0,6
2026-09-03T22:16:38.115312+00:00,dos_hulk_v1,dos_hulk_v1__run_002,impact,T1499,113,2,0.9954,0.9738,0.0435,114605.96,166127.93,0.9879,565,819,0.0575,0.1258,0.0365,0.001,0.0394,81,24,2,4,6,2,0.6893,202.84,62.43,382.65,8232.54,9668.85,4,0.0214,0.3096,0,5
2026-09-03T22:16:43.115312+00:00,dos_hulk_v1,dos_hulk_v1__run_002,impact,T1499,135,2,0.9857,1.0,0.0,218328.67,352560.38,0.8876,1080,1744,0.0204,0.0442,0.0424,0.0029,0.0511,92,24,3,9,2,0,0.6192,202.16,57.81,389.9,9536.11,8653.43,1,0.0,0.1133,0,4
2026-09-03T22:16:48.115312+00:00,dos_hulk_v1,dos_hulk_v1__run_002,impact,T1499,140,2,0.988,1.0,0.0,139684.15,255422.44,1.0,700,1280,0.0403,0.0755,0.0377,0.0028,0.0461,97,30,5,4,0,0,0.5465,199.55,64.68,428.16,7632.25,6290.64,0,0.0088,0.8688,0,12
2026-09-03T22:16:53.115312+00:00,dos_hulk_v1,dos_hulk_v1__run_002,impact,T1499,139,2,0.9638,0.9434,0.0867,279260.63,524567.99,0.9857,1390,2611,0.0326,0.0424,0.0506,0.0021,0.0569,100,25,6,5,5,0,0.5323,200.91,52.54,351.57,8394.02,9181.28,4,0.03,0.9139,0,13
