timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-09-03T22:16:09.491820+00:00,exfil_c2channel_v1,exfil_c2channel_v1__run_007,exfiltration,T1041,9,1,0.0,1.0,0.0,109778.33,1032729.49,0.2183,81,762,0.5,1.4472,0.5728,0.0531,0.732,0,4,0,0,1,0,0.1063,1355.29,161.84,1669.79,8080.64,9047.49,0,0.0,1.3065,0,0
2026-09-03T22:16:14.491820+00:00,exfil_c2channel_v1,exfil_c2channel_v1__run_007,exfiltration,T1041,9,1,0.0,1.0,0.0279,86784.66,727338.11,0.1852,63,528,0.8496,1.5365,0.7815,0.0905,1.0531,0,5,0,0,1,0,0.1192,1377.53,129.02,1584.94,9507.7,8044.73,0,0.0978,1.7527,0,0
2026-09-03T22:16:19.491820+00:00,exfil_c2channel_v1,exfil_c2channel_v1__run_007,exfiltration,T1041,6,1,0.0,1.0,0.0,61917.2,990675.28,0.1377,48,768,0.3471,0.9379,0.6079,0.0566,0.7776,0,3,0,0,1,0,0.0625,1289.94,135.43,1517.35,7843.26,7620.26,0,0.0,0.5265,1,0
2026-09-03T22:16:24.491820+00:00,exfil_c2channel_v1,exfil_c2channel_v1__run_007,exfiltration,T1041,8,1,0.0,1.0,0.0417,54188.2,518852.06,0.1933,40,383,0.693,1.5331,0.6107,0.0668,0.811,0,4,0,0,1,0,0.1043,1354.71,135.39,1564.16,8072.34,7708.21,0,0.0,0.7728,0,0
2026-09-03T22:16:29.491820+00:00,exfil_c2channel_v1,exfil_c2channel_v1__run_007,exfiltration,T1041,5,1,0.0,1.0,0.003,22116.07,335058.44,0.1554,20,303,0.9485,2.3299,0.5942,0.0431,0.7236,0,2,0,0,0,0,0.0659,1105.8,157.05,1322.3,8089.21,7640.56,0,0.0,0.6089,1,0
2026-09-03T22:16:34.491820+00:00,exfil_c2channel_v1,exfil_c2channel_v1__run_007,exfiltration,T1041,7,2,0.4644,0.955,0.0602,68218.562,521633.012,0.2918,60,414,0.8376,1.3259,0.7277,0.1126,1.0653,0,4,0,0,1,0,0.2626,1096.262,222.556,1467.188,7317.574,7435.71,0,0.0002,2.0779,0,1
2026-09-03T22:16:39.491820+00:00,exfil_c2channel_v1,exfil_c2channel_v1__run_007,exfiltration,T1041,6,1,0.0,0.9753,0.0086,49862.04,718844.35,0.2289,36,519,0.9362,1.9613,0.6746,0.0354,0.7807,0,3,0,0,1,0,0.0693,1385.06,235.7,1715.0,8205.81,9738.96,0,0.0,1.8021,0,0
2026-09-03T22:16:44.491820+00:00,exfil_c2channel_v1,exfil_c2channel_v1__run_007,exfiltration,T1041,8,1,0.0,1.0,0.0301,109884.25,1491678.68,0.1986,80,1086,0.438,0.8621,0.5929,0.079,0.8299,0,4,0,0,1,0,0.0736,1373.55,271.58,1959.57,6746.79,9117.86,0,0.0,1.2502,0,0
2026-09-03T22:16:49.491820+00:00,exfil_c2channel_v1,exfil_c2channel_v1__run_007,exfiltration,T1041,4,2,0.4644,0.9516,0.0484,38408.202,716844.404,0.2844,39,596,0.8184,1.2054,0.6562,0.1201,1.0163,0,2,0,0,0,0,0.2018,1041.598,112.716,1175.956,9153.958,7193.07,0,0.0002,1.5352,0,0
2026-09-03T22:16:54.491820+00:00,exfil_c2channel_v1,exfil_c2channel_v1__run_007,exfiltration,T1041,8,1,0.0,1.0,0.0,76443.86,2794295.93,0.2832,56,2047,0.7381,1.274,0.5654,0.0496,0.7142,0,4,0,0,1,0,0.0273,1365.07,213.95,1809.94,7432.0,8630.53,0,0.0,1.1387,0,0
