timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-09-09T14:50:55.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,6,2,0.65,0.9818,0.0135,30452.89,21147.84,0.6694,36,25,0.6542,1.7374,1.1501,0.2294,1.8382,1,3,0,0,1,0,1.4088,845.91,207.48,1173.3,8179.04,10037.68,0,0.0483,0.2403,0,0
2026-09-09T14:51:00.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,8,2,1.0,1.0,0.0,25251.54,25251.54,0.5434,24,24,1.2328,1.7757,1.0166,0.1582,1.4911,1,3,0,0,1,0,0.9813,1052.15,429.06,1801.84,7139.29,6770.87,0,0.1155,0.766,0,0
2026-09-09T14:51:05.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,3,2,0.9183,1.0,0.0174,10559.56,7039.7,0.7212,12,8,1.5235,4.0221,1.1208,0.2038,1.7323,0,1,0,0,0,0,1.4376,879.96,99.38,953.94,9037.65,7328.27,0,0.0962,0.0151,0,0
2026-09-09T14:51:10.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,5,2,0.971,0.9393,0.047,11259.45,9758.19,0.6975,15,13,1.0808,3.2026,0.9083,0.1332,1.3081,1,2,0,0,0,0,1.1137,750.63,191.23,1107.08,6174.45,6327.71,0,0.0844,1.3663,0,0
2026-09-09T14:51:15.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,3,2,0.9183,0.9572,0.0474,28672.38,22300.74,0.6443,27,21,1.7323,3.8141,1.0871,0.1643,1.5801,0,1,0,0,0,0,1.258,1061.94,271.8,1368.17,9091.17,7918.93,0,0.1094,1.1268,0,0
2026-09-09T14:51:20.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,4,2,0.8113,0.9548,0.0279,12907.35,8604.9,0.6713,12,8,0.7569,1.2347,0.98,0.2844,1.8333,1,2,0,0,0,0,1.4152,1075.61,356.52,1669.44,8025.35,8722.26,0,0.0655,1.3309,0,0
2026-09-09T14:51:25.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,3,1,-0.0,1.0,0.0,19845.15,12285.09,0.6388,21,13,0.6152,0.8824,1.1428,0.1732,1.6624,0,1,0,0,0,0,1.5032,945.01,140.9,1121.86,9617.24,9070.33,0,0.0054,0.7963,0,0
2026-09-09T14:51:30.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,8,2,0.8113,1.0,0.0081,39257.49,43346.81,0.5277,48,53,1.3086,2.4499,0.838,0.2081,1.4622,1,4,0,0,1,0,0.8916,817.86,235.09,1351.65,9035.83,8531.69,0,0.0393,0.4819,1,0
2026-09-09T14:51:35.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,5,2,0.7219,1.0,0.0,47318.41,35015.62,0.6018,50,37,1.2789,2.5923,0.9814,0.2651,1.7766,1,2,0,0,0,0,1.3306,946.37,216.01,1232.74,7922.19,6747.96,0,0.0818,0.2988,0,0
2026-09-09T14:51:40.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,2,1,-0.0,1.0,0.0,9201.64,7887.12,0.7025,14,12,1.6489,3.5928,1.1338,0.1643,1.6268,0,1,0,0,0,0,1.1478,657.26,13.68,670.94,7966.02,7838.82,0,0.0274,0.5764,0,0
2026-09-09T14:51:45.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,8,2,0.9544,0.9874,0.0,44271.59,60873.44,0.6769,48,66,1.1092,3.0124,0.9685,0.1433,1.3985,1,4,0,0,1,0,0.7194,922.32,331.09,1544.98,6989.05,8647.08,0,0.0952,1.1176,0,0
2026-09-09T14:51:50.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,3,1,-0.0,0.9549,0.0663,11636.32,7757.54,0.6086,12,8,1.787,3.7769,1.0763,0.1238,1.4477,0,1,0,0,0,0,1.3546,969.69,359.09,1468.98,9898.65,9500.87,0,0.0441,0.9005,0,1
2026-09-09T14:51:55.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,8,2,1.0,1.0,0.0146,32718.96,25561.69,0.7042,32,25,1.202,1.6703,0.9545,0.236,1.6626,1,4,0,0,1,0,1.2538,1022.47,239.11,1436.21,8984.37,9481.57,0,0.1225,1.0755,0,0
2026-09-09T14:52:00.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,4,2,0.8113,1.0,0.0,23137.67,26029.88,0.572,24,27,0.6433,1.7627,1.0757,0.2325,1.7731,0,2,0,0,0,0,0.877,964.07,389.69,1612.47,8695.08,6982.04,0,0.068,1.073,0,0
2026-09-09T14:52:05.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,5,1,-0.0,0.9835,0.0187,22435.62,17200.64,0.6086,30,23,0.8019,1.043,1.0257,0.176,1.5536,0,2,0,0,0,0,1.2924,747.85,363.85,1441.28,7718.21,8840.64,0,0.0489,1.5709,0,0
2026-09-09T14:52:10.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,7,2,0.8631,1.0,0.0,38117.44,26319.18,0.707,42,29,1.0254,2.5969,0.7503,0.0761,0.9787,1,3,0,0,0,0,1.4293,907.56,211.8,1128.1,9023.56,7172.93,0,0.0863,0.2557,0,0
2026-09-09T14:52:15.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,5,2,0.7219,0.9621,0.0358,56251.94,43978.79,0.6637,55,43,1.2846,3.2148,0.8199,0.102,1.1259,0,2,0,0,0,0,1.2507,1022.76,252.96,1287.09,6518.98,8717.29,0,0.1274,0.2321,0,0
2026-09-09T14:52:20.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,1,1,-0.0,1.0,0.0284,5174.24,2587.12,0.6427,6,3,0.9664,2.4562,0.9929,0.2438,1.7242,0,0,0,0,0,0,1.9511,862.37,0.0,862.37,8967.77,7453.41,0,0.0854,0.7865,0,1
2026-09-09T14:52:25.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,5,2,0.971,0.928,0.0519,24221.95,22284.2,0.6681,25,23,0.9629,2.2042,1.1544,0.2415,1.8788,1,2,0,0,0,0,1.0634,968.88,398.78,1559.97,8517.22,8084.3,0,0.0871,1.2306,0,0
2026-09-09T14:52:30.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,8,2,0.9544,1.0,0.0,45181.01,52442.25,0.6429,56,65,1.0765,2.5954,1.0527,0.1304,1.4439,1,3,0,0,0,0,0.8526,806.8,166.72,1058.24,8156.72,8390.94,0,0.0678,0.9784,0,0
2026-09-09T14:52:35.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,2,1,-0.0,1.0,0.0009,12549.95,9860.67,0.627,14,11,0.7776,2.2979,1.0717,0.1582,1.5464,0,0,0,0,0,0,1.2336,896.42,140.11,1036.53,7608.62,8504.51,0,0.0792,0.9625,0,0
2026-09-09T14:52:40.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,8,2,0.9544,0.9698,0.0,22392.13,11895.82,0.7192,32,17,0.7381,1.9693,1.0024,0.1042,1.3151,1,3,0,0,1,0,1.8492,699.75,90.0,847.64,9595.06,7629.99,0,0.093,0.1278,0,0
2026-09-09T14:52:45.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,6,2,0.9183,0.9686,0.0424,19811.28,14858.46,0.6989,24,18,0.7483,2.0675,0.8312,0.2458,1.5687,1,3,0,0,0,0,1.2947,825.47,382.27,1480.72,8898.29,7175.79,0,0.0062,1.7054,0,0
2026-09-09T14:52:50.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,8,2,1.0,0.9708,0.0295,16367.37,8183.69,0.632,16,8,0.9868,1.2799,0.7395,0.085,0.9945,1,3,0,0,1,0,1.7945,1022.96,347.4,1841.67,7855.55,8732.67,0,0.0478,1.4109,0,0
2026-09-09T14:52:55.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,0,0,0.0,0.9888,0.0472,0.0,0.0,0.6031,0,0,1.651,3.8653,1.1406,0.1468,1.581,0,0,0,0,0,0,2.0459,607.69,0.0,607.69,8278.83,8795.58,0,0.0143,0.2903,0,0
2026-09-09T14:53:00.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,5,2,0.971,1.0,0.0,22831.06,15981.74,0.5936,30,21,0.9493,2.2333,0.8172,0.1606,1.2991,1,2,0,0,0,0,1.4138,761.04,198.2,1055.88,8174.37,8106.9,0,0.1077,0.9716,0,0
2026-09-09T14:53:05.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,7,2,0.9852,0.9968,0.0403,18346.12,11357.12,0.727,21,13,1.104,3.1828,1.1056,0.1651,1.6008,1,3,0,0,1,0,1.5513,873.62,226.31,1201.92,8848.64,8431.32,0,0.0592,0.6275,0,0
2026-09-09T14:53:10.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,7,2,0.9852,1.0,0.0255,30209.53,25893.89,0.5912,35,30,1.1363,2.7602,1.0074,0.1071,1.3287,1,3,0,0,1,0,1.136,863.13,255.16,1223.94,5614.47,7144.69,0,0.1627,1.0918,0,0
2026-09-09T14:53:15.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,6,2,1.0,1.0,0.0,33954.55,42847.41,0.6436,42,53,0.6981,1.7143,1.0968,0.187,1.6578,1,3,0,0,0,0,0.7846,808.44,212.38,1151.17,8894.08,8154.1,0,0.1087,1.3309,0,0
2026-09-09T14:53:20.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,2,2,1.0,0.9871,0.0,21027.44,15770.58,0.5709,16,12,1.025,2.192,1.0479,0.3082,1.9726,0,0,0,0,0,0,1.2765,1314.21,412.73,1726.94,7944.82,8480.94,0,0.0902,0.5262,0,0
2026-09-09T14:53:25.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,5,2,0.971,1.0,0.0,26687.01,23484.57,0.6334,25,22,0.649,1.1667,0.9147,0.1488,1.3612,0,2,0,0,0,0,1.0903,1067.48,317.66,1605.27,8375.51,7009.32,0,0.0999,1.0254,0,0
2026-09-09T14:53:30.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,7,2,0.9852,0.9536,0.043,34228.06,33250.12,0.6475,35,34,1.0745,1.8033,1.1021,0.1185,1.4575,1,3,0,0,1,0,1.0045,977.94,406.41,1784.59,8039.26,9760.68,0,0.0857,1.0603,0,0
2026-09-09T14:53:35.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,4,2,0.8113,1.0,0.0007,31093.42,43185.31,0.6363,36,50,0.6084,1.6597,0.9151,0.1677,1.4181,0,2,0,0,0,0,0.7068,863.71,448.13,1632.86,8799.99,8465.41,0,0.0859,1.4263,0,0
2026-09-09T14:53:40.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,3,2,0.9183,0.9822,0.0403,15569.6,17876.21,0.6982,27,31,1.0178,2.3145,0.9782,0.2016,1.5831,0,1,0,0,0,0,0.8589,576.65,40.46,623.57,8401.64,8044.51,0,0.106,2.085,0,0
2026-09-09T14:53:45.378158+00:00,lateral_movement_smb_v1,lateral_movement_smb_v1__run_000,lateral_movement,T1021.002,12,2,0.9799,1.0,0.0,51273.24,36745.82,0.672,60,43,0.4879,0.7502,0.8498,0.1964,1.4389,2,6,1,0,1,0,1.382,854.55,169.63,1062.41,5963.56,7929.93,0,0.0659,0.8941,0,0
