timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-08-27T19:24:19.001092+00:00,recon_portscan_v1,recon_portscan_v1__6a5de20d98c1,reconnaissance,T1595.001,14,14,3.8074,1.0,0.0138,1628.07,6783.63,0.1485,42,175,0.4622,1.3599,0.4623,0.0642,0.6549,11,0,0,5,0,0,0.2399,38.76,12.87,71.64,9392.57,7934.58,0,0.3119,0.9838,0,0
2026-08-27T19:24:24.001092+00:00,recon_portscan_v1,recon_portscan_v1__6a5de20d98c1,reconnaissance,T1595.001,8,8,3.0,1.0,0.0,3097.99,6893.03,0.0915,80,178,0.7163,1.52,0.5852,0.0394,0.7036,6,0,0,3,0,0,0.4471,38.72,10.58,52.4,5801.32,9252.0,0,0.2945,0.1784,0,0
2026-08-27T19:24:29.001092+00:00,recon_portscan_v1,recon_portscan_v1__6a5de20d98c1,reconnaissance,T1595.001,13,13,3.632,0.9457,0.0519,4524.7375,7253.9225,0.2826,63,152,0.7762,1.8364,0.6028,0.1091,0.93,9,1,0,4,0,0,0.6252,114.1975,40.0725,181.9125,6700.0275,7348.0325,0,0.2225,1.7487,0,0
2026-08-27T19:24:34.001092+00:00,recon_portscan_v1,recon_portscan_v1__6a5de20d98c1,reconnaissance,T1595.001,11,11,3.4594,0.9554,0.0659,3675.26,9856.38,0.1534,88,236,0.5478,1.2343,0.4441,0.0615,0.6284,9,0,0,4,0,0,0.3717,41.76,7.07,53.22,8728.7,10611.9,0,0.2896,0.4196,0,0
2026-08-27T19:24:39.001092+00:00,recon_portscan_v1,recon_portscan_v1__6a5de20d98c1,reconnaissance,T1595.001,8,8,3.0,0.9631,0.007,1852.51,6715.37,0.1573,48,174,0.7093,1.366,0.4439,0.0533,0.6039,6,0,0,3,0,0,0.2756,38.59,12.3,59.47,8198.95,8347.61,0,0.3391,0.1948,0,0
2026-08-27T19:24:44.001092+00:00,recon_portscan_v1,recon_portscan_v1__6a5de20d98c1,reconnaissance,T1595.001,5,5,2.3219,0.9509,0.0164,2060.46,5994.06,0.1424,55,160,0.6397,1.5698,0.4375,0.0557,0.6045,4,0,0,1,0,0,0.3427,37.46,10.06,51.17,8755.21,8528.86,0,0.2669,1.1824,0,0
2026-08-27T19:24:49.001092+00:00,recon_portscan_v1,recon_portscan_v1__6a5de20d98c1,reconnaissance,T1595.001,9,9,3.1699,0.968,0.0262,2361.66,9221.73,0.0916,63,246,0.3528,0.9812,0.4605,0.0633,0.6503,7,0,0,3,0,0,0.2553,37.49,10.63,54.89,8911.93,9157.39,0,0.2382,2.0617,0,0
2026-08-27T19:24:54.001092+00:00,recon_portscan_v1,recon_portscan_v1__6a5de20d98c1,reconnaissance,T1595.001,6,6,2.585,0.9329,0.0678,1378.35,2710.76,0.2019,30,59,0.5335,1.1438,0.5743,0.0629,0.7631,5,0,0,2,0,0,0.5072,45.95,9.43,56.3,8837.02,8910.49,0,0.3003,0.8825,0,0
2026-08-27T19:24:59.001092+00:00,recon_portscan_v1,recon_portscan_v1__6a5de20d98c1,reconnaissance,T1595.001,14,14,3.8074,0.9259,0.0529,1046.94,2093.87,0.1727,28,56,0.6699,1.6397,0.5428,0.0562,0.7115,11,0,0,5,0,0,0.4971,37.39,8.93,51.97,9769.4,10186.33,0,0.2815,1.7598,0,0
2026-08-27T19:25:04.001092+00:00,recon_portscan_v1,recon_portscan_v1__6a5de20d98c1,reconnaissance,T1595.001,10,10,3.2964,0.9083,0.0836,3597.4675,4154.525,0.2257,40,72,0.7234,1.3847,0.6596,0.1104,0.9908,7,1,0,3,0,0,0.7019,113.02,38.13,176.4975,8619.3375,7501.3175,0,0.2293,0.9928,0,0
