timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-09-03T22:16:10.365257+00:00,recon_portscan_v1,recon_portscan_v1__run_005,reconnaissance,T1595.001,12,12,3.585,0.9785,0.0017,2794.35,8449.58,0.1916,84,254,0.3221,0.4234,0.4669,0.0246,0.5409,10,0,0,4,0,0,0.3301,33.27,5.87,43.46,8051.9,6674.14,0,0.3411,0.5281,0,0
2026-09-03T22:16:15.365257+00:00,recon_portscan_v1,recon_portscan_v1__run_005,reconnaissance,T1595.001,8,8,3.0,0.9743,0.0174,3513.05,10579.06,0.0982,88,265,0.4829,0.6207,0.5703,0.0823,0.8172,6,0,0,3,0,0,0.3309,39.92,7.87,56.12,7989.59,7552.69,0,0.3071,1.3067,0,0
2026-09-03T22:16:20.365257+00:00,recon_portscan_v1,recon_portscan_v1__run_005,reconnaissance,T1595.001,5,5,2.3219,0.9068,0.079,725.81,2322.59,0.1081,20,64,0.3071,0.3727,0.5968,0.0707,0.8087,4,0,0,2,0,0,0.3099,36.29,3.13,41.01,6298.06,6749.74,0,0.2416,0.4253,0,0
2026-09-03T22:16:25.365257+00:00,recon_portscan_v1,recon_portscan_v1__run_005,reconnaissance,T1595.001,7,7,2.8074,0.9785,0.0087,1121.17,2786.9,0.1914,35,87,0.6202,1.5212,0.581,0.0733,0.8009,6,0,0,3,0,0,0.3995,32.03,7.29,48.29,8250.12,9105.09,0,0.2976,1.2003,0,0
2026-09-03T22:16:30.365257+00:00,recon_portscan_v1,recon_portscan_v1__run_005,reconnaissance,T1595.001,14,14,3.8074,0.9678,0.031,1069.98,4738.46,0.1414,28,124,0.4492,0.8213,0.4861,0.0528,0.6446,11,1,0,5,0,0,0.2258,38.21,9.47,61.78,9242.75,7798.17,0,0.3423,0.3815,0,0
2026-09-03T22:16:35.365257+00:00,recon_portscan_v1,recon_portscan_v1__run_005,reconnaissance,T1595.001,5,5,2.3219,0.9676,0.0321,1762.25,5051.78,0.1667,45,129,0.3875,0.8163,0.4998,0.0679,0.7035,4,0,0,1,0,0,0.3485,39.16,11.66,50.93,8241.43,7093.73,0,0.3184,0.6847,0,0
2026-09-03T22:16:40.365257+00:00,recon_portscan_v1,recon_portscan_v1__run_005,reconnaissance,T1595.001,8,8,3.0793,0.9237,0.0867,3899.4525,7488.8075,0.2719,46,136,0.7758,1.3686,0.6491,0.0886,0.9146,5,1,0,2,0,0,0.4821,137.68,36.4225,205.4425,7234.125,8733.68,0,0.2253,1.2148,0,0
2026-09-03T22:16:45.365257+00:00,recon_portscan_v1,recon_portscan_v1__run_005,reconnaissance,T1595.001,7,7,2.8074,0.9465,0.05,3163.5675,8669.72,0.2764,26,155,0.6543,1.3835,0.6201,0.0555,0.7865,4,1,0,2,0,0,0.3562,139.765,36.355,205.6225,8392.4925,8063.105,0,0.2527,1.5278,0,0
2026-09-03T22:16:50.365257+00:00,recon_portscan_v1,recon_portscan_v1__run_005,reconnaissance,T1595.001,13,13,3.7004,0.947,0.0481,2625.87,11553.81,0.1447,65,286,0.4415,1.3227,0.4734,0.052,0.6296,11,0,0,5,0,0,0.2272,40.4,11.71,71.76,6693.27,8975.43,0,0.3395,1.1766,0,0
2026-09-03T22:16:55.365257+00:00,recon_portscan_v1,recon_portscan_v1__run_005,reconnaissance,T1595.001,7,7,2.8074,0.9745,0.0027,1499.18,4283.36,0.1198,35,100,0.4551,1.2625,0.5105,0.0667,0.7107,5,0,0,2,0,0,0.3493,42.83,13.4,72.7,7002.2,8667.25,0,0.333,1.2819,0,0
