timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-08-27T19:24:19.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,0,0,0.0,0.7398,0.2614,0.0,0.0,0.3984,0,0,2.8785,5.7846,2.3868,0.6202,4.2472,0,0,0,0,0,0,0.7835,85.26,0.0,85.26,7684.2,8777.11,0,0.1499,0.7068,0,0
2026-08-27T19:24:24.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,2,2,1.0,0.7313,0.2657,523.4,785.1,0.3845,6,9,2.336,4.0475,2.16,0.4646,3.554,1,0,0,0,0,0,0.6497,87.23,9.55,96.79,7462.55,6831.23,0,0.2129,1.2162,0,0
2026-08-27T19:24:29.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,4,3,1.5,0.6586,0.3331,2432.42,3952.68,0.3392,24,39,2.218,6.525,2.3087,0.3257,3.2858,2,1,0,0,0,0,0.6093,101.35,35.71,146.94,6395.27,8516.99,0,0.2112,0.7697,0,0
2026-08-27T19:24:34.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,3,2,0.9183,0.7518,0.2381,1386.0,1848.0,0.4154,18,24,1.7444,2.3279,1.65,0.5367,3.26,1,0,0,0,0,0,0.7447,77.0,25.6,111.58,6791.73,8525.55,0,0.2637,0.9812,0,0
2026-08-27T19:24:39.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,6,5,2.2516,0.7067,0.3176,3366.36,3606.82,0.2803,42,45,2.0097,5.6938,1.6978,0.6077,3.5208,3,1,0,1,0,0,0.9283,80.15,29.85,121.64,9189.92,7137.59,0,0.3526,1.1666,0,0
2026-08-27T19:24:44.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,2,2,1.0,0.7157,0.259,1953.04,2685.44,0.2937,16,22,2.7457,4.4537,1.6512,0.5437,3.2824,1,0,0,0,0,0,0.7058,122.07,47.49,169.56,8798.45,8791.51,0,0.1648,1.708,0,0
2026-08-27T19:24:49.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,1,1,-0.0,0.6988,0.2589,458.05,458.05,0.3669,8,8,2.2658,6.1089,2.08,0.6973,4.172,0,0,0,0,0,0,0.9621,57.26,0.0,57.26,7779.21,8460.33,0,0.1378,1.1255,0,0
2026-08-27T19:24:54.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,5,4,1.9219,0.6743,0.325,3177.6,21289.9,0.421,30,201,1.9939,4.2859,1.6465,0.501,3.1494,2,1,0,0,0,0,0.1492,105.92,36.8,168.29,9365.52,7604.56,0,0.2594,1.4711,0,0
2026-08-27T19:24:59.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,0,0,0.0,0.7183,0.2566,0.0,0.0,0.3439,0,0,1.8536,4.8532,2.3005,0.6072,4.122,0,0,0,0,0,0,0.5433,151.3,0.0,151.3,8498.57,10100.98,0,0.1165,0.5529,0,0
2026-08-27T19:25:04.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,5,5,2.3219,0.6797,0.3375,2040.56,3775.03,0.3962,20,37,1.5921,3.8904,2.0474,0.5292,3.635,2,1,0,1,0,0,0.5312,102.03,20.81,126.44,9196.39,8374.79,0,0.3168,0.363,0,0
2026-08-27T19:25:09.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,2,2,1.0,0.6727,0.3082,1081.09,2072.09,0.3626,12,23,1.9674,5.1428,2.4609,0.568,4.165,1,0,0,0,0,0,0.5107,90.09,16.86,106.95,7634.92,9031.04,0,0.2313,1.361,0,0
2026-08-27T19:25:14.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,1,1,-0.0,0.665,0.3173,659.44,989.16,0.3991,6,9,1.3835,2.9279,2.4469,0.4988,3.9433,0,0,0,0,0,0,0.6052,109.91,0.0,109.91,7899.75,8045.34,0,0.1547,1.3563,0,0
2026-08-27T19:25:19.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,3,3,1.3962,0.7488,0.2679,8527.0775,11991.9875,0.3552,33,60,1.2434,2.4284,1.6712,0.3437,2.7023,1,1,0,0,0,0,0.5511,199.2,43.5925,276.7675,8322.345,9138.2075,0,0.1713,1.7474,0,0
2026-08-27T19:25:24.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,2,1,-0.0,0.6898,0.3083,1940.3,3665.02,0.3131,18,34,1.3357,3.4372,1.2908,0.4155,2.5372,1,0,0,0,0,0,0.5195,107.79,33.97,141.76,8764.78,9033.16,0,0.1861,1.3452,0,0
2026-08-27T19:25:29.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,4,4,2.1463,0.7546,0.2481,7104.6575,8535.7025,0.3446,22,32,1.2599,3.147,2.0328,0.3112,2.9662,2,2,0,0,0,0,0.5975,173.5725,51.01,259.405,8515.1025,7211.6075,0,0.2292,1.5237,0,0
2026-08-27T19:25:34.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,8,6,2.4056,0.6606,0.3449,3537.31,7000.93,0.3061,48,95,2.4242,6.3285,1.5999,0.5869,3.3607,4,1,0,1,0,0,0.5042,73.69,14.74,98.54,10130.7,9721.42,0,0.3294,0.6612,0,0
2026-08-27T19:25:39.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,2,2,1.0,0.72,0.3033,843.79,1195.36,0.4247,12,17,2.2032,3.4906,2.7628,0.8312,5.2564,1,0,0,0,0,0,0.67,70.32,3.05,73.37,8399.6,8332.8,0,0.2116,0.4074,0,0
2026-08-27T19:25:44.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,1,1,-0.0,0.7176,0.2704,907.87,1271.02,0.3041,10,14,2.2359,3.294,2.6429,0.9018,5.3483,0,0,0,0,0,0,0.7089,90.79,0.0,90.79,7959.8,6222.66,0,0.2029,1.3885,0,0
2026-08-27T19:25:49.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,3,3,1.585,0.6989,0.3148,1350.27,1800.36,0.3275,15,20,2.5092,6.132,3.1904,0.4611,4.5738,1,0,0,0,0,0,0.7328,90.02,12.91,104.76,8695.27,8522.55,0,0.2593,0.6197,0,0
2026-08-27T19:25:54.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,2,2,1.0,0.7014,0.2766,574.47,6893.68,0.3147,6,72,2.8244,7.5302,1.8823,0.6799,3.9221,1,0,0,0,0,0,0.0832,95.75,15.05,110.8,7745.17,7272.02,0,0.1809,1.3315,0,0
2026-08-27T19:25:59.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,1,1,-0.0,0.6882,0.3245,605.22,537.97,0.3482,9,8,2.8755,7.2877,1.8917,0.5847,3.6457,0,0,0,0,0,0,1.0763,67.25,0.0,67.25,8609.97,7606.43,0,0.1934,0.1768,0,0
2026-08-27T19:26:04.103305+00:00,recon_service_discovery_v1,recon_service_discovery_v1__64a6a94ec148,reconnaissance,T1046,3,2,0.9183,0.7834,0.1852,876.6,1168.8,0.3247,12,16,2.6555,3.3328,2.5573,0.7641,4.8495,1,0,0,0,0,0,0.7244,73.05,35.16,104.05,6529.39,8910.67,0,0.1978,0.7377,0,0
