timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-09-03T22:16:10.789423+00:00,web_bruteforce_v1,web_bruteforce_v1__run_000,initial_access,T1110.003,27,4,1.9749,1.0,0.0118,39199.68,61703.2,0.6839,108,170,0.2216,0.6565,0.2226,0.0288,0.309,8,12,3,0,4,0,0.6344,362.96,100.95,587.29,8748.71,8356.77,3,0.0,0.7343,0,0
2026-09-03T22:16:15.789423+00:00,web_bruteforce_v1,web_bruteforce_v1__run_000,initial_access,T1110.003,20,4,1.9406,1.0,0.0,13728.16,16130.59,0.7715,40,47,0.1909,0.2816,0.2175,0.0482,0.3622,6,8,2,1,3,0,0.8496,343.2,100.05,544.69,9403.46,8770.88,2,0.0,1.4935,0,0
2026-09-03T22:16:20.789423+00:00,web_bruteforce_v1,web_bruteforce_v1__run_000,initial_access,T1110.003,21,4,1.8628,0.925,0.0745,56676.74,52291.04,0.8304,168,155,0.2259,0.5932,0.2409,0.019,0.2979,6,9,2,1,4,0,1.0775,337.36,92.7,532.44,8520.68,8691.14,3,0.0502,0.9688,0,0
2026-09-03T22:16:25.789423+00:00,web_bruteforce_v1,web_bruteforce_v1__run_000,initial_access,T1110.003,27,4,1.966,0.9766,0.0316,70604.45,48937.48,0.7161,189,131,0.2656,0.4377,0.2007,0.0341,0.303,8,12,2,1,5,0,1.4414,373.57,99.89,613.53,7785.2,8090.94,4,0.0346,1.7897,0,0
2026-09-03T22:16:30.789423+00:00,web_bruteforce_v1,web_bruteforce_v1__run_000,initial_access,T1110.003,27,4,1.8753,0.9726,0.0171,44923.7,35273.42,0.7636,135,106,0.1663,0.4132,0.2702,0.0353,0.3762,8,12,3,2,5,0,1.2702,332.77,76.65,495.15,8432.74,8579.92,4,0.0541,1.2496,0,1
2026-09-03T22:16:35.789423+00:00,web_bruteforce_v1,web_bruteforce_v1__run_000,initial_access,T1110.003,25,4,1.9787,1.0,0.0,68496.72,45207.83,0.8078,200,132,0.2329,0.6625,0.1766,0.0328,0.275,7,11,2,2,5,0,1.5087,342.48,71.16,495.13,7511.76,7564.01,4,0.0534,1.1966,0,2
2026-09-03T22:16:40.789423+00:00,web_bruteforce_v1,web_bruteforce_v1__run_000,initial_access,T1110.003,28,4,1.8922,1.0,0.0,81510.62,57130.21,0.7996,224,157,0.228,0.3173,0.1911,0.0211,0.2544,8,12,3,1,5,0,1.4256,363.89,114.69,706.8,7504.22,9032.0,3,0.0188,0.7205,0,0
2026-09-03T22:16:45.789423+00:00,web_bruteforce_v1,web_bruteforce_v1__run_000,initial_access,T1110.003,19,4,1.8238,0.9924,0.0101,57821.64,76461.51,0.8915,152,201,0.2663,0.5374,0.2134,0.0163,0.2624,4,9,1,0,4,0,0.7546,380.41,90.57,535.43,8030.99,7614.86,2,0.0071,0.6164,0,0
2026-09-03T22:16:50.789423+00:00,web_bruteforce_v1,web_bruteforce_v1__run_000,initial_access,T1110.003,16,4,1.9238,0.9712,0.0262,42124.5,32721.71,0.8089,112,87,0.1372,0.1908,0.2059,0.0386,0.3218,4,7,0,0,3,0,1.2735,376.11,115.6,630.01,8764.54,6478.64,2,0.0157,0.7347,0,0
2026-09-03T22:16:55.789423+00:00,web_bruteforce_v1,web_bruteforce_v1__run_000,initial_access,T1110.003,26,4,1.9636,1.0,0.0061,8818.15,6104.88,0.7812,26,18,0.2744,0.4617,0.1845,0.0402,0.3051,7,11,1,1,4,0,1.4078,339.16,66.71,506.36,6764.18,7602.89,3,0.0091,0.3268,0,0
