timestamp,persona_id,run_id,mitre_stage,technique_id,flow_count,unique_dst_ports,dest_port_entropy,tcp_ratio,udp_ratio,bytes_fwd_sum,bytes_bwd_sum,bidirectional_ratio,pkts_fwd_sum,pkts_bwd_sum,duration_mean,duration_max,iat_mean,iat_std,iat_max,syn_flag_sum,ack_flag_sum,fin_flag_sum,rst_flag_sum,psh_flag_sum,urg_flag_sum,down_up_ratio_mean,pkt_len_mean,pkt_len_std,pkt_len_max,init_fwd_win_mean,init_bwd_win_mean,fwd_psh_flags_sum,port_scan_score,ttl_variance,ip_fragment_flags,retransmit_count
2026-08-27T19:24:19.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,7,3,1.1488,1.0,0.0,42414.59,17312.08,0.7841,98,40,0.7791,2.2622,0.5339,0.0838,0.7853,1,3,0,0,1,0,2.3995,432.8,135.09,619.09,7149.21,8238.06,0,0.0725,3.71,0,0
2026-08-27T19:24:24.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,9,3,1.4355,0.9896,0.0018,38762.67,18842.97,0.7227,72,35,0.693,1.5203,0.6681,0.1115,1.0026,1,4,0,0,2,0,2.0136,538.37,115.7,707.67,6616.84,7462.44,1,0.0,4.1744,0,1
2026-08-27T19:24:29.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,7,4,1.8424,0.9726,0.0297,19264.93,8806.82,0.8321,35,16,0.3285,0.945,0.6278,0.0654,0.8239,1,3,0,0,1,0,2.121,550.43,144.95,801.02,8935.79,8188.06,0,0.0,4.0946,0,0
2026-08-27T19:24:34.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,7,3,1.3788,1.0,0.0239,31810.23,12983.77,0.6917,49,20,0.3499,0.461,0.5528,0.0648,0.7471,1,3,0,0,1,0,2.4032,649.19,163.42,920.23,8805.22,7668.61,0,0.0,3.9817,0,1
2026-08-27T19:24:39.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,9,3,1.5305,0.9927,0.0,23527.01,20390.08,0.7813,45,39,0.6205,0.9236,0.5956,0.1286,0.9815,1,4,1,0,2,0,1.1386,522.82,131.47,715.33,7331.47,7184.99,1,0.0,3.7293,0,1
2026-08-27T19:24:44.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,15,4,1.9329,0.9839,0.0,92231.36,35047.92,0.746,150,57,0.5576,1.6195,0.5101,0.1171,0.8614,2,7,1,0,3,0,2.5899,614.88,219.51,1051.88,8652.65,9321.86,1,0.0171,4.9537,0,0
2026-08-27T19:24:49.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,10,4,1.8464,1.0,0.0,38273.32,16402.85,0.7242,70,30,0.573,1.012,0.5876,0.093,0.8664,1,4,1,0,2,0,2.2598,546.76,261.03,1115.79,7857.57,9092.97,1,0.0,3.9645,0,0
2026-08-27T19:24:54.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,4,3,1.5,1.0,0.0219,12481.76,3900.55,0.7566,32,10,0.7936,2.0832,0.6421,0.184,1.194,0,1,0,0,0,0,3.0681,390.06,60.96,483.41,7319.0,7739.2,0,0.001,4.8787,0,0
2026-08-27T19:24:59.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,9,4,1.8911,0.9826,0.033,20231.26,6743.75,0.8451,36,12,0.4667,1.0066,0.7249,0.0749,0.9496,1,4,0,0,1,0,2.798,561.98,102.53,702.3,7615.76,7710.57,0,0.0319,4.1603,0,0
2026-08-27T19:25:04.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,8,4,1.8113,1.0,0.047,43920.36,16470.14,0.7783,72,27,0.4974,1.3956,0.4808,0.1009,0.7836,1,3,0,0,1,0,2.6408,610.01,251.67,966.19,9007.32,9110.29,0,0.0438,3.8067,0,0
2026-08-27T19:25:09.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,12,4,1.7925,0.9613,0.0496,35379.46,15331.1,0.6775,60,26,0.7434,2.1734,0.63,0.1375,1.0425,1,6,1,1,2,0,2.2564,589.66,131.26,850.03,8479.03,8718.5,1,0.0185,4.4504,0,1
2026-08-27T19:25:14.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,12,4,1.7842,1.0,0.0024,77970.8,42775.65,0.7465,144,79,0.4869,1.1187,0.4034,0.1111,0.7369,2,6,1,0,2,0,1.8031,541.46,199.54,874.19,7773.59,8830.32,1,0.0,4.0993,0,0
2026-08-27T19:25:19.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,6,3,1.4591,0.9991,0.0,15001.18,6000.47,0.6916,30,12,1.0353,1.2979,0.6494,0.1157,0.9965,1,2,0,0,1,0,2.4928,500.04,172.09,749.64,6672.64,7969.16,0,0.0,4.4768,0,0
2026-08-27T19:25:24.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,12,4,1.7925,1.0,0.0185,56122.96,21046.11,0.8092,120,45,0.7298,1.8761,0.4879,0.119,0.8448,2,5,1,0,2,0,2.6357,467.69,156.97,695.14,7942.22,8010.42,1,0.0,4.7979,0,1
2026-08-27T19:25:29.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,9,4,1.8911,1.0,0.0052,23633.93,13129.96,0.6945,36,20,0.5541,0.8905,0.4714,0.0783,0.7064,1,4,0,0,2,0,1.799,656.5,172.66,878.59,8292.36,7232.48,1,0.0564,3.6652,0,0
2026-08-27T19:25:34.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,7,3,1.4488,1.0,0.0,22159.3,6858.83,0.7119,42,13,0.411,0.8275,0.7349,0.1047,1.049,1,3,0,0,1,0,3.1287,527.6,153.97,748.82,7354.82,6463.06,0,0.0404,4.1503,0,0
2026-08-27T19:25:39.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,11,4,1.9808,1.0,0.0052,24232.84,12116.42,0.7244,44,22,0.2973,0.4489,0.4673,0.0502,0.6178,2,5,0,0,2,0,1.9673,550.75,185.89,915.68,8945.1,9080.92,1,0.0888,4.4433,0,0
2026-08-27T19:25:44.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,12,3,1.4591,0.9424,0.0593,53926.34,24716.24,0.7439,96,44,0.6509,1.4142,0.5485,0.0581,0.723,2,6,0,0,2,0,2.1636,561.73,163.42,901.42,7235.31,8129.27,1,0.0,3.5018,0,0
2026-08-27T19:25:49.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,7,4,1.9502,1.0,0.0403,20288.4,21447.74,0.733,35,37,0.731,1.3232,0.6141,0.1822,1.1608,1,3,1,0,1,0,0.9327,579.67,168.46,808.64,8701.88,8008.16,0,0.0,4.3095,0,0
2026-08-27T19:25:54.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,15,4,1.8892,1.0,0.0349,39338.48,16391.03,0.7462,60,25,0.5755,0.9038,0.4747,0.0773,0.7064,2,7,1,0,3,0,2.3824,655.64,262.75,1447.28,9427.07,8484.78,2,0.0,3.0772,0,1
2026-08-27T19:25:59.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,7,3,1.1488,1.0,0.0,18033.21,8758.99,0.8496,35,17,0.4401,1.0506,0.4784,0.1038,0.7899,1,3,0,0,1,0,2.0383,515.23,290.56,1126.88,9776.9,8733.49,0,0.0149,4.4389,0,0
2026-08-27T19:26:04.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,10,3,1.571,0.9947,0.0087,36290.76,12960.99,0.7699,70,25,0.7238,1.1883,0.6445,0.1629,1.1333,2,5,0,0,2,0,2.7837,518.44,296.86,1252.83,9672.75,7700.94,1,0.0576,4.3511,0,1
2026-08-27T19:26:09.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,9,4,1.8366,1.0,0.0158,14640.67,5964.72,0.7847,27,11,0.4044,0.7672,0.6602,0.1157,1.0072,1,4,0,0,1,0,2.3045,542.25,244.21,1062.08,8466.51,7037.23,0,0.0,3.5121,0,0
2026-08-27T19:26:14.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,8,4,1.9056,1.0,0.0,29541.57,13539.89,0.7845,48,22,0.7699,1.5443,0.6025,0.099,0.8994,1,4,0,0,1,0,2.1028,615.45,353.93,1351.46,8108.51,8456.94,0,0.0044,3.9644,0,0
2026-08-27T19:26:19.453414+00:00,web_xss_v1,web_xss_v1__247ab311d5ec,initial_access,T1190,8,2,0.8113,1.0,0.0043,40687.8,17165.17,0.7517,64,27,0.6977,1.4661,0.5994,0.175,1.1243,1,3,0,0,1,0,2.327,635.75,160.73,919.91,7199.81,5570.06,0,0.0279,3.4611,0,0
