persona_id,family,feature,generated_mean,generated_std,reference_mean,reference_std,z_score,flag
benign_browsing_v1,benign,flow_count,6.128,2.805,6.0,3.0,0.04,ok
benign_browsing_v1,benign,syn_flag_sum,0.01,0.098,0.4,0.6,-0.65,ok
benign_browsing_v1,benign,dest_port_entropy,1.451,0.479,1.2,0.7,0.36,ok
benign_browsing_v1,benign,down_up_ratio_mean,2.504,0.598,2.2,1.5,0.2,ok
benign_browsing_v1,benign,pkt_len_mean,600.184,132.003,550.0,250.0,0.2,ok
benign_browsing_v1,benign,port_scan_score,0.026,0.025,0.03,0.05,-0.08,ok
benign_browsing_v1,benign,retransmit_count,0.057,0.244,0.1,0.3,-0.14,ok
benign_bulk_transfer_v1,benign,flow_count,15.053,3.859,6.0,3.0,3.02,REVIEW
benign_bulk_transfer_v1,benign,syn_flag_sum,0.025,0.156,0.4,0.6,-0.62,ok
benign_bulk_transfer_v1,benign,dest_port_entropy,1.477,0.125,1.2,0.7,0.4,ok
benign_bulk_transfer_v1,benign,down_up_ratio_mean,7.955,1.532,2.2,1.5,3.84,REVIEW
benign_bulk_transfer_v1,benign,pkt_len_mean,1395.009,54.496,550.0,250.0,3.38,REVIEW
benign_bulk_transfer_v1,benign,port_scan_score,0.025,0.023,0.03,0.05,-0.1,ok
benign_bulk_transfer_v1,benign,retransmit_count,0.251,0.55,0.1,0.3,0.5,ok
benign_iot_idle_v1,benign,flow_count,0.988,1.054,6.0,3.0,-1.67,ok
benign_iot_idle_v1,benign,syn_flag_sum,0.0,0.0,0.4,0.6,-0.67,ok
benign_iot_idle_v1,benign,dest_port_entropy,0.323,0.557,1.2,0.7,-1.25,ok
benign_iot_idle_v1,benign,down_up_ratio_mean,0.996,0.289,2.2,1.5,-0.8,ok
benign_iot_idle_v1,benign,pkt_len_mean,90.76,29.299,550.0,250.0,-1.84,ok
benign_iot_idle_v1,benign,port_scan_score,0.023,0.026,0.03,0.05,-0.13,ok
benign_iot_idle_v1,benign,retransmit_count,0.006,0.074,0.1,0.3,-0.31,ok
bruteforce_ftp_v1,initial_access,flow_count,17.569,4.335,18.0,6.0,-0.07,ok
bruteforce_ftp_v1,initial_access,syn_flag_sum,8.288,2.226,8.0,3.0,0.1,ok
bruteforce_ftp_v1,initial_access,dest_port_entropy,0.0,0.0,0.3,0.4,-0.75,ok
bruteforce_ftp_v1,initial_access,down_up_ratio_mean,1.105,0.203,1.0,0.4,0.26,ok
bruteforce_ftp_v1,initial_access,pkt_len_mean,100.013,7.387,200.0,150.0,-0.67,ok
bruteforce_ftp_v1,initial_access,port_scan_score,0.023,0.023,0.02,0.03,0.09,ok
bruteforce_ftp_v1,initial_access,retransmit_count,0.551,0.748,0.5,0.5,0.1,ok
bruteforce_ssh_v1,initial_access,flow_count,20.283,4.541,18.0,6.0,0.38,ok
bruteforce_ssh_v1,initial_access,syn_flag_sum,10.681,2.586,8.0,3.0,0.89,ok
bruteforce_ssh_v1,initial_access,dest_port_entropy,0.0,0.0,0.3,0.4,-0.75,ok
bruteforce_ssh_v1,initial_access,down_up_ratio_mean,0.903,0.156,1.0,0.4,-0.24,ok
bruteforce_ssh_v1,initial_access,pkt_len_mean,119.562,9.021,200.0,150.0,-0.54,ok
bruteforce_ssh_v1,initial_access,port_scan_score,0.025,0.024,0.02,0.03,0.15,ok
bruteforce_ssh_v1,initial_access,retransmit_count,0.825,0.923,0.5,0.5,0.65,ok
dos_hulk_v1,impact,flow_count,125.675,12.221,80.0,40.0,1.14,ok
dos_hulk_v1,impact,syn_flag_sum,87.549,8.95,50.0,25.0,1.5,ok
dos_hulk_v1,impact,dest_port_entropy,0.994,0.008,0.1,0.2,4.47,REVIEW
